# owningplugin|localid|baseEditorID|cell|controllers
dragonborn.esm|034578|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|034579|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|03457A|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|03457B|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|03457C|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|03457D|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|03457E|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|03457F|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|034580|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|034581|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|034638|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|03463A|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|03463B|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|03463C|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|03463D|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|03463E|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|03463F|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|034640|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|034641|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|034642|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|034643|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|034644|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|034645|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|034646|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|034647|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|034648|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|034649|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|03464A|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|03464B|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|01AA11|NorSecRmSmDoorSm01|DLC2Benkongerike01|NorPullChain01
dragonborn.esm|026838|NorPortcullis|DLC2BloodskalBarrow01|NorPullBar01
dragonborn.esm|03C455|NorSecRmSmDoorSm01|DLC2BloodskalBarrow01|NorPullChain01
dragonborn.esm|01E8F7|NorSecRmSmDoorSm01|DLC2BloodskalBarrow02|NorPullChain01
dragonborn.esm|026266|PortGatePole03|DLC2HighpointTower01|MetalLever01
dragonborn.esm|026267|PortGatePole03|DLC2HighpointTower01|MetalLever01
dragonborn.esm|026268|PortGatePole03|DLC2HighpointTower01|MetalLever01
dragonborn.esm|026269|PortGatePole03|DLC2HighpointTower01|MetalLever01
dragonborn.esm|02626A|PortGatePole03|DLC2HighpointTower01|MetalLever01
dragonborn.esm|02626B|PortGatePole03|DLC2HighpointTower01|MetalLever01
dragonborn.esm|02626C|PortGatePole03|DLC2HighpointTower01|MetalLever01
dragonborn.esm|02626D|PortGatePole03|DLC2HighpointTower01|MetalLever01
dragonborn.esm|02C530|NorSecRmSmDoorSm01|DLC2HrothmundsBarrow01|NorPullChain01
dragonborn.esm|01814D|NorPortcullis|DLC2KolbjornBarrow01|NorPullChain01
dragonborn.esm|018169|NorPortcullis|DLC2KolbjornBarrow01|NorPullChain01
dragonborn.esm|020C7D|NorPortcullis|DLC2KolbjornBarrow01|TrapLinker
dragonborn.esm|020CAB|NorPortcullis|DLC2KolbjornBarrow01|NorPullChain01
dragonborn.esm|017B3A|NorPortcullisLarge01|DLC2TempleOfMiraak01|NorPullBar01
dragonborn.esm|01899E|NorPortcullisLarge01|DLC2TempleOfMiraak01|NorPullChain01
dragonborn.esm|018A5E|NorPortcullis|DLC2TempleOfMiraak01|NorPullBar01
dragonborn.esm|028786|PortGatePole01|DLC2TempleOfMiraak01|NorLever01,TrapLinker
dragonborn.esm|028787|PortGatePole01|DLC2TempleOfMiraak01|NorLever01,TrapLinker
dragonborn.esm|028788|PortGatePole01|DLC2TempleOfMiraak01|NorLever01,TrapLinker
dragonborn.esm|028789|PortGatePole01|DLC2TempleOfMiraak01|NorLever01,TrapLinker
dragonborn.esm|02878A|PortGatePole01|DLC2TempleOfMiraak01|NorLever01,TrapLinker
dragonborn.esm|02878B|PortGatePole01|DLC2TempleOfMiraak01|NorLever01,TrapLinker
dragonborn.esm|02878C|PortGatePole01|DLC2TempleOfMiraak01|NorLever01,TrapLinker
dragonborn.esm|02878D|PortGatePole01|DLC2TempleOfMiraak01|NorLever01,TrapLinker
dragonborn.esm|0287B6|NorSecRmSmDoorSm01|DLC2TempleOfMiraak01|NorPullChain01
dragonborn.esm|01ABAC|NorPortcullis|DLC2VahloksTomb01|NorPullChain01
dragonborn.esm|01AC7C|PortGatePole01|DLC2VahloksTomb01|TrapLinker
dragonborn.esm|01AC7D|PortGatePole01|DLC2VahloksTomb01|TrapLinker
dragonborn.esm|01AC7E|PortGatePole01|DLC2VahloksTomb01|TrapLinker
dragonborn.esm|01AC7F|PortGatePole01|DLC2VahloksTomb01|TrapLinker
dragonborn.esm|01AC80|PortGatePole01|DLC2VahloksTomb01|TrapLinker
dragonborn.esm|01AC81|PortGatePole01|DLC2VahloksTomb01|TrapLinker
dragonborn.esm|01AC82|PortGatePole01|DLC2VahloksTomb01|TrapLinker
dragonborn.esm|01AC83|PortGatePole01|DLC2VahloksTomb01|TrapLinker
dragonborn.esm|01AC84|PortGatePole01|DLC2VahloksTomb01|TrapLinker
dragonborn.esm|01AC85|PortGatePole01|DLC2VahloksTomb01|TrapLinker
dragonborn.esm|01AC86|PortGatePole01|DLC2VahloksTomb01|TrapLinker
dragonborn.esm|01AC87|PortGatePole01|DLC2VahloksTomb01|TrapLinker
dragonborn.esm|01AC88|PortGatePole01|DLC2VahloksTomb01|TrapLinker
dragonborn.esm|01AC89|PortGatePole01|DLC2VahloksTomb01|TrapLinker
dragonborn.esm|01AC8A|PortGatePole01|DLC2VahloksTomb01|TrapLinker
dragonborn.esm|0263F5|NorPortcullis|DLC2VahloksTomb01|NorPullChain01
dragonborn.esm|0321B4|NorPortcullis|DLC2VahloksTomb01|NorPullBar01
dragonborn.esm|0321C7|NorPortcullis|DLC2VahloksTomb01|NorPullBar01
dragonborn.esm|0192A3|NorPortcullisLarge01|DLC2WhiteRidgeBarrow01|NorPullChain01
skyrim.esm|018E75|NorShaftTrapDoorTriggered|DeadMensRespite01|NorPullChain01
skyrim.esm|05C66E|NorShaftTrapDoorSmallerTriggered|DeadMensRespite01|NorPullChain01
skyrim.esm|05D416|NorSecRmSmDoorSm01|DeadMensRespite01|NorLever01
skyrim.esm|02A051|NorSecRmSmDoorSm01|DustmansCairn01|NorLever01
skyrim.esm|05B236|NorSecRmSmDoorSm01|DustmansCairn01|NorPullChain01
skyrim.esm|0485A5|NorSecRmSmDoorSm01|ForsakenCave01|NorLever01
skyrim.esm|09D75E|NorSecRmSmDoorSm01|HagsEnd01|NorPullBar01
skyrim.esm|0D7356|NorSecRmSmDoorSm01|HillgrundsTomb01|NorPullChain01
skyrim.esm|03F348|NorShaftTrapDoorSmallerTriggered|IronbindBarrow01|NorPullChain01
skyrim.esm|086D9E|NorPortcullisLarge01|Labyrinthian04center|skyrim.esm:017ce1
skyrim.esm|0457B2|NorShaftTrapDoorSmallerTriggered|Pinewatch01|MetalLever01
skyrim.esm|01F103|NorSecRmSmDoorSm01|PotemasCatacombs02|NorLever01,NorPullChain01
skyrim.esm|0C024E|NorSecRmSmDoorSm01|ShriekwindBastion01|NorPullChain01
skyrim.esm|0B77E7|NorSecRmSmDoorSm01|SilverdriftLair01|NorPullBar01
dawnguard.esm|003927|PortGatePole06|SoulCairnHorseQuest|dawnguard.esm:00393c
dawnguard.esm|003928|PortGatePole06|SoulCairnHorseQuest|dawnguard.esm:003939
dawnguard.esm|003929|PortGatePole06|SoulCairnHorseQuest|dawnguard.esm:003939
dawnguard.esm|003935|PortGatePole06|SoulCairnHorseQuest|dawnguard.esm:00393c
dawnguard.esm|003936|PortGatePole06|SoulCairnHorseQuest|dawnguard.esm:003939
dawnguard.esm|003937|PortGatePole06|SoulCairnHorseQuest|dawnguard.esm:00393c
dawnguard.esm|003938|PortGatePole06|SoulCairnHorseQuest|dawnguard.esm:00393c
dawnguard.esm|00410A|PortGatePole06|SoulCairnHuskMerchant|dawnguard.esm:004107
dawnguard.esm|00410B|PortGatePole06|SoulCairnHuskMerchant|dawnguard.esm:004106
dawnguard.esm|00410C|PortGatePole06|SoulCairnHuskMerchant|dawnguard.esm:004107
dawnguard.esm|00410D|PortGatePole06|SoulCairnHuskMerchant|dawnguard.esm:004106
dawnguard.esm|00410E|PortGatePole06|SoulCairnHuskMerchant|dawnguard.esm:004107
dawnguard.esm|00410F|PortGatePole06|SoulCairnHuskMerchant|dawnguard.esm:004106
dawnguard.esm|004110|PortGatePole06|SoulCairnHuskMerchant|dawnguard.esm:004107
dawnguard.esm|004C5A|PortGatePole06|SoulCairnPOI06|dawnguard.esm:004c6a
dawnguard.esm|004C62|PortGatePole06|SoulCairnPOI06|dawnguard.esm:004c6a
dawnguard.esm|004C63|PortGatePole06|SoulCairnPOI06|dawnguard.esm:004c6b
dawnguard.esm|004C64|PortGatePole06|SoulCairnPOI06|dawnguard.esm:004c6a
dawnguard.esm|004C65|PortGatePole06|SoulCairnPOI06|dawnguard.esm:004c6b
dawnguard.esm|004C66|PortGatePole06|SoulCairnPOI06|dawnguard.esm:004c6a
dawnguard.esm|004C67|PortGatePole06|SoulCairnPOI06|dawnguard.esm:004c6b
skyrim.esm|0270BA|NorSecRmSmDoorSm01|Ustengrav01|NorLever01
skyrim.esm|029E04|NorSecRmSmDoorSm01|Ustengrav01|NorLever01,NorPullChain01
skyrim.esm|080A97|PortGatePole06|ValkyggPuzzle|skyrim.esm:080a8e
skyrim.esm|080A98|PortGatePole06|ValkyggPuzzle|skyrim.esm:080aa7
skyrim.esm|080A99|PortGatePole06|ValkyggPuzzle|skyrim.esm:080aa6
skyrim.esm|031744|NorSecRmSmDoorSm01|Valthume01|NorPullBar01
skyrim.esm|0E419C|NorSecRmSmDoorSm01|Valthume01|NorPullBar01
skyrim.esm|019F66|NorSecRmSmDoorSm01|Volskygge01|NorLever01
skyrim.esm|07B7D8|NorSecRmSmDoorSm01|Volskygge01|NorLever01
skyrim.esm|07B84A|NorSecRmSmDoorSm01|Volskygge02|NorLever01
skyrim.esm|07B84B|NorSecRmSmDoorSm01|Volskygge02|NorLever01
skyrim.esm|082EAB|NorSecRmSmDoorSm01|Yngvild01|NorLever01
skyrim.esm|0D7913|NorSecRmSmDoorSm01|YsgramorsTomb01|NorPullChain01
skyrim.esm|0D794E|NorSecRmSmDoorSm01|YsgramorsTomb01|NorPullChain01
